2018년,2019년,최근1년
1370700.0,1408901.0,2564697.0
15094547.0,15132309.0,14334725.0
22814270.0,26954528.0,24814928.0
25339539.0,25897888.0,15924886.0
25566138.0,24280985.0,15046528.0
27606258.0,25754179.0,15654629.0
37157885.0,37316733.0,29799027.0
38015088.0,35010415.0,27150009.0
55472100.0,54712540.0,36398524.0
59645022.0,41126632.0,40092787.0
68773191.0,82508144.0,52366687.0
83466943.0,78820097.0,45326438.0
413498956.0,350084615.0,66731733.0
631793331.0,677841245.0,532742507.0
689831714.0,717407234.0,205206108.0
1001501398.0,1022651139.0,227803841.0
6114400741.0,6686640582.0,1881080674.0
